ID,Name,Counterpart,RA_hh:mm:ss,DEC_dd:mm:ss,l_deg,b_deg,Mag_Outburst_AB,Mag_Quiescence_AB,d_kpc,fxpeak_2-10keV_erg_s-1_cm-2,Porb_h
58,IGR J17451-3022,,17:45:06.72,-30:22:43.30,358.7115137,-00.65799919,Ks=17.4±0.2,Ks=17.6±0.1,,1.90E-10,∼6.284±0.001
59,IGR J17454-2919,,17:45:27.68,-29:19:53.45,359.6444754,-00.17656165,,Ks=13.22±0.02,,2.78E-10,
60,MAXI J1535-571,GRB 170902A,15:35:19.71,-57:13:47.58,323.7240835,-01.12885997,i'=21.8±0.2,,,1.44E-07,
61,Swift J1658.2-4242,,16:58:12.70,-42:41:56.09,343.2512784,00.05342834,,,,7.20E-10,
62,MAXI J1813-095,,18:13:34.02,-09:31:59.20,020.1116048,03.94826128,i'=18.62±0.02,i'>19.7,,7.10E-10,
63,MAXI J1820+070,ASASSN-18ey = V3721 Oph,18:20:21.94,+07:11:07.19,035.8535506,10.1591562,V∼14,V=18.3,3.46+2.18-1.03/2.96±0.33,2.26E-07,16.4518±0.0002
64,MAXI J1631-479,,16:31:14.22,-47:48:23.44,336.2881394,00.31248069,,,,1.06E-08,
65,MAXI J1810-222,,18:12:39.66,-22:19:25.0,008.7695570,-01.98090632,,,6,0.73±0.03,
66,Swift J1728.9-3613,MAXI J1728-360,17:28:58.64,-36:14:35.32,351.9548777,-00.96630145,,,,1.35E-08,
67,MAXI J1348-630,,13:48:12.79,-63:16:28.48,309.2640654,-01.10297116,i'=14.44±0.08,i'=20.3±0.4,>3 / 2.2+0.5-0.6,1.97E-08,
68,MAXI J0637-430,,06:36:23.70,-42:52:04.70,251.5320370,-20.67473903,r'=15.80±0.01,i'>20.7,,6.29E-09,
69,AT 2019wey,SRGA J043520.9+552226 = ZTF19acwrvzk = ATLAS19bcxp,04:35:23.27,+55:22:34.30,151.1611300,05.29973,r'=17.40±0.05,i'≥24.1,>1,2.40E-08,<8.2
70,MAXI J1803-298,,18:03:02.79,-29:49:49.70,001.1471843,-03.727514,i'=16.01±0.01,,,3.96E-09,7.0±0.2
71,Swift J1727.8-1613,,17:27:43.31,-16:12:19.23,008.6416052,10.25479693,i'=12.57±0.01,i=19.41±0.2,3.4±0.3,1.65E-07,10.804±0.001
72,Swift J151857.0-572147,,15:18:57.50,-57:21:48.70,321.8163989,-00.00332943,,i'>20.7,,,
73,MAXI J1744-294,,17:45:40.48,-29:00:46.10,266.4186500,-29.012806,,,1 pc of Sgr A*,,
