  Index  ID    NGC      Type    Magnitude    Size (Arc minutes)    Distance (Light Years)    RA (Hours Min)    Dec (Deg Min)    Constellation    Common Name
     61  C61   4039     Sp      13.0         3.2x2.2               83000000                  12 01.9           -18 53           Crv              Antennae Galaxies
     62  C62   247      Sp      8.9          20x7                  6800000                   00 47.1           -20 46           Cet              Helix Nebula
     63  C63   7293     Pl      6.5          13                    522                       22 29.6           -20 48           Aqr              Helix Nebula
     64  C64   2362     Oc      4.1          8                     5100                      07 18.8           -24 57           CMa              Sculptor Galaxy
     65  C65   253      Sp      7.1          25x7                  9800000                   00 47.6           -25 17           Scl              Sculptor Galaxy
     66  C66   5694     Gc      10.2         3.6                   113000                    14 39.6           -26 32           Hya              Spiral Galaxy
     67  C67   1097     Sb      9.2          9x6                   47000000                  02 46.3           -30 17           For              R CrA Nebula
     68  C68   6729     Bn      9.7          1.0                   424                       19 01.9           -36 57           CrA              Bug Nebula
     69  C69   6302     Pl      12.8         0.8                   5200                      17 13.7           -37 06           Sco              Bug Nebula
     70  C70   300      Sp      8.1          20x13                 3900000                   00 54.9           -37 41           Scl              Open Cluster
     71  C71   2477     Oc      5.8          27                    3700                      07 52.3           -38 33           Pup              Galaxy In Scl Group
     72  C72   55       Sb      8.2          32x6                  4200000                   00 14.9           -39 11           Scl              Dun 508 Globular Cluster
     73  C73   1851     Gc      7.3          11                    39400                     05 14.1           -40 03           Col              Eight-Burst Planetary
     74  C74   3132     Pl      8.2          0.8                   2000                      10 07.7           -40 26           Vel              Eight Burst Nebula
     75  C75   6124     Oc      5.8          29                    1500                      16 25.6           -40 40           Sco              Cluster
     76  C76   6231     Oc      2.6          15                    6000                      16 54.0           -41 48           Sco              Cen A Galaxy
     77  C77   5128     Px      7.0          18x14                 16000000                  13 25.5           -43 01           Cen              Centaurus A
     78  C78   6541     Gc      6.6          13                    22300                     18 08.0           -43 42           CrA              Globular Cluster
     79  C79   3201     Gc      6.7          18                    17000                     10 17.6           -46 25           Vel              Omega Centauri Globular
     80  C80   5139     Gc      3.6          36                    17300                     13 26.8           -47 29           Cen              Omega Centauri
     81  C81   6352     Gc      8.1          7                     18600                     17 25.5           -48 25           Ara              Open Cluster
     82  C82   6193     Oc      5.2          15                    4300                      16 41.3           -48 46           Ara              Spiral Galaxy
     83  C83   4945     Sp      9.5          20x4                  17000000                  13 05.4           -49 28           Cen              Globular Cluster
     84  C84   5286     Gc      7.6          9                     36000                     13 46.4           -51 22           Cen              Omicron Vel Open Cluster
     85  C85   IC 2391  Oc      2.5          50                    500                       08 40.2           -53 04           Vel              Omicron Vel Cluster
     86  C86   6397     Gc      5.6          26                    7500                      17 40.7           -53 40           Ara              Globular Cluster
     87  C87   1261     Gc      8.4          7                     55500                     03 12.3           -55 13           Hor              Open Cluster
     88  C88   5823     Oc      7.9          10                    3400                      15 05.7           -55 36           Cir              S Nor Open Cluster
     89  C89   6087     Oc      5.4          12                    3300                      16 18.9           -57 54           Nor              S Norma Cluster
     90  C90   2867     Pl      9.7          0.2                   5500                      09 21.4           -58 19           Car              Open Cluster
     91  C91   3532     Oc      3.0          55                    1600                      11 06.4           -58 40           Car              Eta Carinae Nebula
     92  C92   3372     Bn      6.2          120x120               7500                      10 43.8           -59 52           Car              Eta Carinae Nebula
     93  C93   6752     Gc      5.4          20                    13000                     19 10.9           -59 59           Pav              Kappa Crucis Cluster (Jewel Box)
     94  C94   4755     Oc      4.2          10                    4900                      12 53.6           -60 20           Cru              Jewel Box
     95  C95   6025     Oc      5.1          12                    2500                      16 03.7           -60 30           TrA              Open Cluster
     96  C96   2516     Oc      3.8          30                    1300                      07 58.3           -60 52           Car              Open Cluster
     97  C97   3766     Oc      5.3          12                    5800                      11 36.1           -61 37           Cen              Open Cluster
     98  C98   4609     Oc      6.9          5                     4200                      12 42.3           -62 58           Cru              Coal Sack DN
     99  C99   -        Dn      -            400x300               610                       12 53.0           -63 00           Cru              Coalsack Nebula
    100  C100  IC 2944  Oc      4.5          15                    6000                      11 36.6           -63 02           Cen              Lambda Centauri Nebula
    101  C101  6744     Sb      9.0          16x10                 34000000                  19 09.8           -63 51           Pav              Theta Car Open Cluster
    102  C102  IC 2602  Oc      1.9          50                    492                       10 43.2           -64 24           Car              Theta Car Cluster
    103  C103  2070     Bn      1.0          40x25                 170000                    05 38.7           -69 06           Dor              Tarantula Nebula
    104  C104  362      Gc      6.6          13                    27700                     01 03.2           -70 51           Tuc              Globular Cluster
    105  C105  4833     Gc      7.3          14                    19600                     12 59.6           -70 53           Mus              47 Tucanae Globular
    106  C106  104      Gc      4.0          31                    14700                     00 24.1           -72 05           Tuc              47 Tucanae
    107  C107  6101     Gc      9.3          11                    49900                     16 25.8           -72 12           Aps              Globular Cluster
    108  C108  4372     Gc      7.8          19                    18900                     12 25.8           -72 40           Mus              Globular Cluster
    109  C109  3195     Pl      11.6         40_35                 5400                      10 09.5           -80 52           Cha              Planetary Nebula
